census_occ2010,onet_code
8420,51-6064.00
8430,51-6091.00
8440,51-6092.00
8450,51-6093.00
8460,51-6099.00
8500,51-7011.00
8510,51-7021.00
8520,51-7031.00
8520,51-7032.00
8530,51-7041.00
8540,51-7042.00
8550,51-7099.00
8600,51-8011.00
8600,51-8012.00
8600,51-8013.00
8610,51-8021.00
8620,51-8031.00
8630,51-8013.00
8630,51-8013.03
8630,51-8013.04
8630,51-8091.00
8630,51-8092.00
8630,51-8093.00
8630,51-8099.00
8630,51-8099.01
8640,51-9011.00
8640,51-9012.00
8650,51-9021.00
8650,51-9022.00
8650,51-9023.00
8710,51-9031.00
8710,51-9032.00
8720,51-9041.00
8730,51-9051.00
8740,51-9061.00
8750,51-9071.00
8750,51-9071.06
8760,51-9081.00
8760,51-9082.00
8760,51-9083.00
8800,51-9111.00
8810,51-9123.00
8810,51-9124.00
8830,51-9151.00
8840,51-9141.00
8850,51-9191.00
8860,51-9192.00
8900,51-9193.00
8910,51-9194.00
8920,51-9195.00
8920,51-9195.03
8920,51-9195.04
8920,51-9195.05
8930,51-9196.00
8940,51-9197.00
8950,51-9198.00
8965,51-9161.00
8965,51-9162.00
8965,51-9199.00
8965,53-7062.04
9000,53-1041.00
9000,53-1042.00
9000,53-1042.01
9000,53-1043.00
9000,53-1044.00
9000,53-1049.00
9030,53-2011.00
9030,53-2012.00
9040,53-2021.00
9040,53-2022.00
9050,53-2031.00
9110,53-3011.00
9120,53-3051.00
9120,53-3052.00
9120,53-3053.00
9130,53-3031.00
9130,53-3032.00
9130,53-3033.00
9140,53-3053.00
9140,53-3054.00
9150,53-3099.00
9200,53-4011.00
9200,53-4013.00
9200,53-4022.00
9230,53-4022.00
9240,53-4031.00
9260,53-4041.00
9260,53-4099.00
9300,53-5011.00
9310,53-5021.00
9310,53-5022.00
9330,53-5031.00
9340,53-6011.00
9350,53-6021.00
9360,53-6031.00
9410,53-6051.00
9410,53-6051.01
9410,53-6051.07
9415,53-6061.00
9420,53-6032.00
9420,53-6041.00
9420,53-6099.00
9500,53-7011.00
9510,53-7021.00
9520,47-5022.00
9520,47-5044.00
9520,53-7031.00
9520,53-7199.00
9560,53-7041.00
9600,53-7051.00
9610,53-7061.00
9620,53-7062.00
9630,53-7063.00
9640,53-7064.00
9650,53-7071.00
9650,53-7072.00
9650,53-7073.00
9720,53-7081.00
9730,47-5044.00
9740,53-7121.00
9750,53-7199.00
9800,55-1011.00
9800,55-1012.00
9800,55-1013.00
9800,55-1014.00
9800,55-1015.00
9800,55-1016.00
9800,55-1017.00
9800,55-1019.00
9810,55-2011.00
9810,55-2012.00
9810,55-2013.00
9820,17-3029.00
9820,55-3011.00
9820,55-3012.00
9820,55-3013.00
9820,55-3014.00
9820,55-3015.00
9820,55-3016.00
9820,55-3018.00
9820,55-3019.00
